"ContactID"	"LeadID"	"BCID"	"Best Time to Call"	"Memo"	"Date"	"Status"	"Recontact Date"	"Recontact Time"	"Presentation Scheduled"	"Presentation Scheduled Set With"	"Presentation Viewed"	"Presentation Score"	"Expert Date"	"Expert Time"	"Expert Set With"	"Expert Topic"	"Expert Timeframe"	"Expert Time Confirmation"
126352	204843	437			10/22/2009 12:51:45	"FP"					0							0
126353	204844	437			10/22/2009 12:51:45	"FP"					0							0
126354	204845	437			10/22/2009 12:51:45	"FP"					0							0
126355	204846	437			10/22/2009 12:51:45	"FP"					0							0
126356	204848	437			10/22/2009 12:51:45	"FP"					0							0
126357	204850	437			10/22/2009 12:51:45	"FP"					0							0
126358	204851	437			10/22/2009 12:51:45	"FP"					0							0
126359	204855	437			10/22/2009 12:51:45	"FP"					0							0
126360	204856	437			10/22/2009 12:51:45	"FP"					0							0
126361	204857	437			10/22/2009 12:51:45	"FP"					0							0
126362	204859	437			10/22/2009 12:51:45	"FP"					0							0
126363	204860	437			10/22/2009 12:51:45	"FP"					0							0
126364	204861	437			10/22/2009 12:51:45	"FP"					0							0
126365	204862	437			10/22/2009 12:51:45	"FP"					0							0
126366	204863	437			10/22/2009 12:51:45	"FP"					0							0
126367	204864	437			10/22/2009 12:51:45	"FP"					0							0
126368	204865	437			10/22/2009 12:51:45	"FP"					0							0
126369	204866	437			10/22/2009 12:51:45	"FP"					0							0
126370	204867	437			10/22/2009 12:51:45	"FP"					0							0
126371	204869	437			10/22/2009 12:51:45	"FP"					0							0
126372	204870	437			10/22/2009 12:51:45	"FP"					0							0
126373	204873	437			10/22/2009 12:51:45	"FP"					0							0
126374	204874	437			10/22/2009 12:51:45	"FP"					0							0
126375	204875	437			10/22/2009 12:51:45	"FP"					0							0
126376	204876	437			10/22/2009 12:51:45	"FP"					0							0
126377	204877	437			10/22/2009 12:51:45	"FP"					0							0
126378	204880	437			10/22/2009 12:51:45	"FP"					0							0
126379	204881	437			10/22/2009 12:51:45	"FP"					0							0
126380	204884	437			10/22/2009 12:51:45	"FP"					0							0
126381	204885	437			10/22/2009 12:51:45	"FP"					0							0
126382	204886	437			10/22/2009 12:51:45	"FP"					0							0
126383	204887	437			10/22/2009 12:51:45	"FP"					0							0
126384	204888	437			10/22/2009 12:51:45	"FP"					0							0
126385	204889	437			10/22/2009 12:51:45	"FP"					0							0
126386	204891	437			10/22/2009 12:51:45	"FP"					0							0
126387	204894	437			10/22/2009 12:51:45	"FP"					0							0
126388	204896	437			10/22/2009 12:51:45	"FP"					0							0
126389	204897	437			10/22/2009 12:51:45	"FP"					0							0
126390	204900	437			10/22/2009 12:51:45	"FP"					0							0
126391	204901	437			10/22/2009 12:51:45	"FP"					0							0
126392	204904	437			10/22/2009 12:51:45	"FP"					0							0
126393	204905	437			10/22/2009 12:51:45	"FP"					0							0
126394	204907	437			10/22/2009 12:51:45	"FP"					0							0
126395	204909	437			10/22/2009 12:51:45	"FP"					0							0
126396	204912	437			10/22/2009 12:51:45	"FP"					0							0
126397	204913	437			10/22/2009 12:51:45	"FP"					0							0
126398	204914	437			10/22/2009 12:51:45	"FP"					0							0
126399	204916	437			10/22/2009 12:51:45	"FP"					0							0
126400	204918	437			10/22/2009 12:51:45	"FP"					0							0
126401	204921	437			10/22/2009 12:51:45	"FP"					0							0
126402	204922	437			10/22/2009 12:51:45	"FP"					0							0
126403	204924	437			10/22/2009 12:51:45	"FP"					0							0
126404	204925	437			10/22/2009 12:51:45	"FP"					0							0
126405	204926	437			10/22/2009 12:51:45	"FP"					0							0
126406	204927	437			10/22/2009 12:51:45	"FP"					0							0
126407	204929	437			10/22/2009 12:51:45	"FP"					0							0
126408	204930	437			10/22/2009 12:51:45	"FP"					0							0
126409	204931	437			10/22/2009 12:51:45	"FP"					0							0
126410	204932	437			10/22/2009 12:51:45	"FP"					0							0
126411	204933	437			10/22/2009 12:51:45	"FP"					0							0
126412	204934	437			10/22/2009 12:51:45	"FP"					0							0
126413	204935	437			10/22/2009 12:51:45	"FP"					0							0
126414	204937	437			10/22/2009 12:51:45	"FP"					0							0
126415	204938	437			10/22/2009 12:51:45	"FP"					0							0
126416	204939	437			10/22/2009 12:51:45	"FP"					0							0
126417	204940	437			10/22/2009 12:51:45	"FP"					0							0
126418	204941	437			10/22/2009 12:51:45	"FP"					0							0
126419	204945	437			10/22/2009 12:51:45	"FP"					0							0
126420	204947	437			10/22/2009 12:51:45	"FP"					0							0
126421	204948	437			10/22/2009 12:51:45	"FP"					0							0
126422	204949	437			10/22/2009 12:51:45	"FP"					0							0
126423	204951	437			10/22/2009 12:51:45	"FP"					0							0
126424	204953	437			10/22/2009 12:51:45	"FP"					0							0
126425	204955	437			10/22/2009 12:51:45	"FP"					0							0
126426	204959	437			10/22/2009 12:51:45	"FP"					0							0
126427	204961	437			10/22/2009 12:51:45	"FP"					0							0
126428	204963	437			10/22/2009 12:51:45	"FP"					0							0
126429	204964	437			10/22/2009 12:51:45	"FP"					0							0
126430	204965	437			10/22/2009 12:51:45	"FP"					0							0
126431	204967	437			10/22/2009 12:51:45	"FP"					0							0
126432	204968	437			10/22/2009 12:51:45	"FP"					0							0
126433	204970	437			10/22/2009 12:51:45	"FP"					0							0
126434	204971	437			10/22/2009 12:51:45	"FP"					0							0
126435	204972	437			10/22/2009 12:51:45	"FP"					0							0
126436	204976	437			10/22/2009 12:51:45	"FP"					0							0
126437	204978	437			10/22/2009 12:51:45	"FP"					0							0
126438	204979	437			10/22/2009 12:51:45	"FP"					0							0
126439	204983	437			10/22/2009 12:51:45	"FP"					0							0
126440	204984	437			10/22/2009 12:51:45	"FP"					0							0
126441	204985	437			10/22/2009 12:51:45	"FP"					0							0
126442	204986	437			10/22/2009 12:51:45	"FP"					0							0
126443	204988	437			10/22/2009 12:51:45	"FP"					0							0
126444	204989	437			10/22/2009 12:51:45	"FP"					0							0
126445	204990	437			10/22/2009 12:51:45	"FP"					0							0
126446	204993	437			10/22/2009 12:51:45	"FP"					0							0
126447	204994	437			10/22/2009 12:51:45	"FP"					0							0
126448	204995	437			10/22/2009 12:51:45	"FP"					0							0
126449	204998	437			10/22/2009 12:51:45	"FP"					0							0
126450	204999	437			10/22/2009 12:51:45	"FP"					0							0
126451	205000	437			10/22/2009 12:51:45	"FP"					0							0
126452	205002	437			10/22/2009 12:51:45	"FP"					0							0
126453	205005	437			10/22/2009 12:51:45	"FP"					0							0
126454	205007	437			10/22/2009 12:51:45	"FP"					0							0
126455	205008	437			10/22/2009 12:51:45	"FP"					0							0
126456	205009	437			10/22/2009 12:51:45	"FP"					0							0
126457	205010	437			10/22/2009 12:51:45	"FP"					0							0
126458	205011	437			10/22/2009 12:51:45	"FP"					0							0
126459	205013	437			10/22/2009 12:51:45	"FP"					0							0
126460	205014	437			10/22/2009 12:51:45	"FP"					0							0
126461	205016	437			10/22/2009 12:51:45	"FP"					0							0
126462	205017	437			10/22/2009 12:51:45	"FP"					0							0
126463	205019	437			10/22/2009 12:51:45	"FP"					0							0
126464	205020	437			10/22/2009 12:51:45	"FP"					0							0
126465	205021	437			10/22/2009 12:51:45	"FP"					0							0
126466	205025	437			10/22/2009 12:51:45	"FP"					0							0
126467	205027	437			10/22/2009 12:51:45	"FP"					0							0
126468	205028	437			10/22/2009 12:51:45	"FP"					0							0
126469	205029	437			10/22/2009 12:51:45	"FP"					0							0
126470	205030	437			10/22/2009 12:51:45	"FP"					0							0
126471	205031	437			10/22/2009 12:51:45	"FP"					0							0
126472	205032	437			10/22/2009 12:51:45	"FP"					0							0
126473	205034	437			10/22/2009 12:51:45	"FP"					0							0
126474	205036	437			10/22/2009 12:51:45	"FP"					0							0
126475	205037	437			10/22/2009 12:51:45	"FP"					0							0
126476	205038	437			10/22/2009 12:51:45	"FP"					0							0
126477	205040	437			10/22/2009 12:51:45	"FP"					0							0
126478	205041	437			10/22/2009 12:51:45	"FP"					0							0
126479	205043	437			10/22/2009 12:51:45	"FP"					0							0
126480	205044	437			10/22/2009 12:51:45	"FP"					0							0
